id,lyrics,embedding
5FDh0G5oQ2UD9JxWiDCT1x,paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fun being good to you this one we made just for fall and winter runs a bit too small this mint green is new for spring my love didn t cost a thing you re like twenty two girls in one and none of them know what they re running from was it just too far to fall for a little paper doll fold a scarf moroccan red tie your hair behind your head strap into some heels that hurt you shoulda kept my undershirt you re like twenty two girls in one and none of them know what they re running from was it just too far to fall for a little paper doll cut the cord and pull some strings make yourself some angel wings and if those angel wings don t fly someone s going to paint you another sky  cause you re like twenty two girls in one and none of them know what they re running from was it just too far to fall was it just too far to fall 13,"[-5.034142971038818, -1.993836522102356, -6.159965991973877, -4.4506635665893555, -3.2636682987213135, -5.573249816894531, -6.5068583488464355, -6.960747241973877, -6.06292200088501, -5.5728559494018555, -5.188323020935059, -7.0166754722595215, -6.991549491882324, -4.826688289642334, -7.731057643890381, -7.987127304077148, -7.661386013031006, -0.6557626724243164, -3.2248783111572266, -7.171910285949707, -5.048635005950928, -6.809595108032227, -4.523814678192139, -5.659627437591553, -7.429065704345703, -5.8779072761535645, -7.388819694519043]"
6XK6Zw6JkFsHXzAcMWNiIr,on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well pick me up with golden hand and oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way send me on my way send me on my way send me on my way send me on my way mm hmm  i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah now pick me up with golden hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way mm hmm whoo ha ha ha well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way on my way send me on my way send me on my way ooh ooh ooh ooh ooh ooh ooh ooh on my way ooh ooh ooh ooh ooh ooh ooh on my way i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah thank you thank you thank you very much14,"[-5.360651016235352, -1.752396583557129, -6.861416339874268, -5.426416397094727, -3.7518672943115234, -5.9025068283081055, -5.466956615447998, -3.679427146911621, -1.4476964473724365, -6.489963054656982, -6.315709114074707, -6.226282119750977, -7.580238342285156, -3.132035732269287, -6.902031898498535, -1.531923770904541, -7.703130722045898, -3.7227699756622314, -3.9661989212036133, -7.428871154785156, -3.6123008728027344, -7.650474548339844, -5.6014204025268555, -6.741454124450684, -6.685689926147461, -6.449549198150635, -6.506317615509033]"
7GX5flRQZVHRAGd6B4TmDO,are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to the top til they be fallin over countin them bands on my way to the top til we fallin over i don t really care if you cry on the real you shoulda never lied shoulda saw the way she looked me in my eyes she said baby i am not afraid to die push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge phantom that s all red inside all white like somethin you ride a sled down i just want that head my brittany got mad i m barely her man now everybody got the same swag now watch the way that i tear it down stackin my bands all the way to the top all the way til my bands fallin over every time that you leave your spot your girlfriend call me like come on over i like the way that she treat me gon leave you won t leave me i call it that casanova she say i m insane yeah i might blow my brain out xanny help the pain yeah please xanny make it go away i m committed not addicted but it keep control of me all the pain now i can t feel it i swear that it s slowin me yeah  i don t really care if you cry on the real you shoulda never lied saw the way she looked me in my eyes she said i am not afraid to die all my friends are dead push me to the edge all my friends are dead yeah ooh push me to the edge all my friends are dead yeah all my friends are dead yeah that is not your swag i swear you fake hard now these niggas wanna take my cadence rain on em thunderstorm rain on em medicine lil nigga take some fast car nascar race on em in the club ain t got no ones then we would beg them clothes from overseas got the racks and they all c notes you is not a g though lookin at you stackin all your money it all green though i was countin that and these all twenties that s a g roll she say you re the worst you re the worst i cannot die because this my universe i don t really care if you cry on the real you shoulda never lied shoulda saw the way she looked me in my eyes she said baby i am not afraid to die push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge796,"[-6.5196332931518555, -6.156268119812012, -2.4151010513305664, -1.680074691772461, -4.0741963386535645, -6.214893341064453, -6.532413959503174, -7.003995895385742, -5.7286858558654785, -4.221630573272705, -3.784916877746582, -2.409816265106201, -5.65451717376709, -6.665454864501953, -4.218587398529053, -8.56298828125, -7.139921188354492, -6.888075828552246, -6.328028678894043, -6.666759490966797, -6.284826278686523, -7.581867694854736, -4.718039512634277, -7.739874839782715, -7.977231502532959, -4.738075256347656, -6.609264373779297]"
73q3FpQVXWk5eSUnyo83E4,it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you baby i don t understand just why we can t be lovers things are getting out of hand trying too much but baby we can t win let it go if you want me girl let me know i am down on my knees i can t take it anymore it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you oh oh oh oh oh oh alright baby don t misunderstand what i m trying to tell ya in the corner of my mind baby it feels like we re running out of time let it go if you want me girl let me know i am down on my knees i can t take it anymore oh oh oh baby it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you tearin up my heart and soul we re apart i feel it too and no matter what i do i feel the pain with or without you tearin up my heart and soul we re apart i feel it too and no matter what i do i feel the pain with or without you it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you and no matter what i do i feel the pain with or without you1,"[-6.429225921630859, -6.453890800476074, -5.049381732940674, -3.492622137069702, -4.162478446960449, -3.966322660446167, -3.799499034881592, -4.7076897621154785, -5.130481719970703, -1.44534170627594, -4.145198345184326, -5.683169841766357, -5.750563144683838, -6.489971160888672, -4.814911365509033, -7.821097373962402, -4.348206520080566, -5.688079833984375, -4.92360258102417, -3.3883748054504395, -5.641597747802734, -7.841517448425293, -3.6702046394348145, -6.131558418273926, -4.106288909912109, 1.125148892402649, -6.357132911682129]"
1IdTIzkTK6CcpKKgMUGbg7,some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from being just a number how will i hold my head to keep from goin under down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me testing me how did they find me here what do they want from me all of these vultures hiding right outside my door i hear them whispering they re tryin to ride it out they ve never gone this long without a kill before down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me testing me wheels up i got to leave this evening i can t seem to shake these vultures off of my trail power is made by power being taken so i keep on running to protect my situation down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me now  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh whatcha gonna do about it whatcha gonna do about it whatcha gonna do bout it don t give up give up don t give up give up give up don t you give up don t give up give up give up11,"[-7.070433616638184, -7.175278663635254, -6.418627738952637, -4.289994239807129, -2.849992275238037, -5.479743957519531, -2.714247941970825, -2.5247745513916016, -4.608911037445068, -4.9950432777404785, -5.26763916015625, -6.860371112823486, -7.4046711921691895, -6.255491733551025, -5.927791595458984, -8.472026824951172, -7.938747882843018, -6.838156223297119, -7.120471477508545, -6.408106327056885, -2.863708734512329, -8.162233352661133, -3.72249698638916, -7.357022762298584, -7.589970588684082, -6.343846797943115, -5.632197380065918]"
7IByJvSqRFltGyiiIiL4wn,you love who you love who you love you love who you love who you love my girl she isn t the one i saw coming and sometimes i don t know which way to go and i tried to run before but i m not running anymore because i ve fought against it hard enough to know that you love who you love who you love you love who you love who you love you love who you love who you love oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love my boy ain t the one that i saw coming and some have said his heart s too hard to hold and it takes a little time but you should see him when he shines you never want to let that feeling go when you love who you love who you love you love who you love who you love yeah you love who you love who you love  oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love oh you love who you love who you love you love who you love who you love you love who you love who you love oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love it s who you love who you love who you love who you love you re the one i love12,"[-5.219394207000732, -6.920562744140625, -3.61887788772583, -3.5037925243377686, -3.6886754035949707, -4.414192199707031, -3.484973669052124, -4.9607648849487305, -3.730781316757202, -2.936126470565796, -2.760399103164673, -4.856443405151367, -6.095954418182373, -5.4523210525512695, -5.033144950866699, -6.524809837341309, -6.211991310119629, -5.174238204956055, 2.298327922821045, -5.170706748962402, -4.420206069946289, -7.338089466094971, -3.934067726135254, -6.957806587219238, -5.342976093292236, -3.569065809249878, -5.1633219718933105]"
50YQFbfIVk2XMnVFKAuuib,we pick up in new york city i m tryna find a man i never got to be but when i push down on the pavement i found the whole thing so much harder than it seemed the only deal i ever signed no devil drew a dotted line the stage was set the words were mine i m not complaining whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go every night around this time my friends and i we treat it like a race when i really start to break it down i wouldn t trust a girl who knew about this place barking on with no one left speak softly underneath my breath hey world you ain t seen nothing yet great now it s raining  whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go whiskey whiskey whiskey water water water sleep dreamed somebody missed me wake up shake it off and repeat and repeat and repeat after me whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey cut me off and pour me in the street1,"[-6.220760345458984, -7.115930080413818, -6.785715579986572, -3.8321244716644287, -2.8927855491638184, -6.716782569885254, -4.459089279174805, -6.891517639160156, -4.946068286895752, -3.3014492988586426, -2.3437788486480713, -6.255186557769775, -6.900756359100342, -6.488387584686279, -6.234376907348633, -7.962775230407715, -7.944851875305176, -6.646790027618408, -7.620647430419922, -6.679388999938965, -3.2055654525756836, -7.622343063354492, -2.7808103561401367, -6.752547264099121, -7.6573710441589355, -5.830923557281494, -6.430668354034424]"
69XcvSymPaTke2Qb6f3W6P,every morning when you come downstairs hair s a mess but i don t care no makeup on and shining so bright my old sweatshirt never fit so right dancing around to the radio humming the words that you don t know cross out finding an angel off my list thinking that it don t get no better than this you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes loving you easy wrapped around me late at night pillow talk by candle light gonna slow this down and make it last the best things fly by us so fast you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes oh i wanna sing it again you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes loving you easy easy easy2,"[-2.652346611022949, -6.441488265991211, -5.337823390960693, -4.970026016235352, -2.5703234672546387, -3.5901670455932617, -6.59917688369751, -6.512824535369873, -2.4937684535980225, -5.574251651763916, -5.5094733238220215, -5.940168380737305, -7.406242847442627, -4.659123420715332, -6.852631568908691, -5.714319229125977, -7.218821048736572, -3.202413558959961, 2.331779956817627, -6.969346046447754, -3.8988730907440186, -6.368926048278809, -4.978403568267822, -6.567846775054932, -6.65335750579834, -5.6865081787109375, -6.643600940704346]"
4bWlAEbGHhPKQNjhTstN2p,so we live in our old van travel all across this land me and you we ll end up hand in hand somewhere down on the sand just me and you just as free free as we ll ever be just as free free as we ll ever be we drive until the city lights dissolve into a country sky just me and you lay underneath the harvest moon do all the things that lovers do just me and you just as free free as we ll ever be just as free free as we ll ever be no we don t have a lot of money no we don t have a lot of money no we don t have a lot of money all we need is love just as free free as we ll ever be just as free free as we ll ever be  so we live in our old van travel all across this land me and you4,"[-6.56472110748291, -6.678612232208252, -5.355691909790039, -4.277489185333252, -1.930531620979309, -5.067867279052734, -6.627732753753662, -7.008427143096924, -5.3607096672058105, -5.403280735015869, -2.5129871368408203, -6.884634017944336, -7.6073102951049805, -5.311370372772217, -7.1993327140808105, -7.859488010406494, -7.860588073730469, -4.669259548187256, -3.7405738830566406, -7.899216175079346, -5.509337902069092, -7.361266136169434, -4.542889595031738, -6.464606761932373, -8.028554916381836, -5.970451354980469, -6.955936431884766]"
3VgYGwa03GGyYwKjHtJqrQ,i don t need no doctor cause i know what s ailing me i don t need no doctor cause i know what s ailing me i ve been too long away from my baby yeah i m coming down with a misery i don t need no doctor for my prescription to be filled no no no i don t need no doctor for my prescription to be filled yeah only my baby s arms could ever could ever take away this chill now the doctor say i need rest for i need is her tenderness he put me on the critical list when all i need is her sweet kiss he gave me a medicated lotion but it didn t soothe my emotion yeah i don t need no doctor for my hope to live is gone no no i don t need no doctor for my hope to live is gone all i need is my baby please won t you please just come on home come on home,"[-6.392793655395508, -7.027402877807617, -5.397850513458252, -3.365602493286133, -3.9039382934570312, -4.736433506011963, -5.84993839263916, -6.233852863311768, -4.462799549102783, -0.8988566398620605, -2.433887243270874, -5.585274696350098, -5.981128215789795, -6.311392307281494, -5.390500545501709, -7.300936698913574, -4.89187479019165, -5.381115913391113, -5.510663032531738, -4.493401527404785, -5.791673183441162, -7.472786903381348, -3.8724210262298584, -5.626783847808838, -5.259860992431641, 0.31984683871269226, -6.073646545410156]"
