prompt_1,prompt_2,emo_1,emo_2,track_ids,emotional_alignment,progression,cohesion,diversity,overall_appeal,overall,rationale
I'm motivated.,Help me reach a more joyful mood.,motivated,joyful,"['0zGzohqDQwrRxxAZfu5KG8', '1xSSV0IVVKfjSZgsVmxi5R', '1iSrhpM1ofjUTARIOVCJHq', '1oGjMh7qpiB7uL63m2F33E', '3FcsucHWT8nKLeLEAv4Dym', '67ibXkmavZoN2S6m86p70f', '39OoyrFnFgRY2JYnt7Ubju']",4,4,3,3,4,3.6,"Tracks transition well from motivational to joyful. Cohesion and diversity are moderate, with some stylistic jumps. Overall, enjoyable and effective progression."
I'm feeling overwhelmed after a rough day.,,overwhelmed,sad,"['34Pub98D4GdddeECI2QFQk', '5BCAJMlzgeKfSSHqW9JnTY', '1cuLtqGaBtJJCdeEOhFwFq', '4KbllQk6GVbdnImNvl038b', '17SP3gtIuzVcuMw91mBoDS', '12Ork5oHVqxTm14qhj7EEW', '64vZ2gT0gfGruTvHKrWUBh']",4,4,3,3,4,3.6,"Tracks transition from calming to uplifting, fitting the emotional journey. Some style jumps, but overall smooth. Decent artist variety."
Today was exhausting and I'm quite nostalgic.,I want to end up joyful.,nostalgic,joyful,"['0HazdqciEvWSSvrFJV8oAM', '5pUDt2BjrwMw4Eeq9utiGX', '5Xyq6TeJVDxsInkBILV5AW', '3eD1e1jN0k6Q0y4qvrXBa5', '7oeJtWREh7o5Smqc4zIbDF', '6S6dSWpaYawQNSZi38wqtB', '6Q2EPcNHf7144ex08Ud1mY']",4,4,3,4,4,3.8,"Tracks transition well from nostalgic to joyful, maintaining a smooth emotional journey. Some stylistic jumps, but diverse artists enhance engagement."
I'm frustrated.,Help me reach a more lonely mood.,frustrated,lonely,"['6Op2gmDbZbx99IGX0TqCi7', '5ci5B6xNix4wtY5NzxhUNs', '6POXk7Fi01QuiYmcE7DqJc', '2mkHp8qZcIXQEcMCWla6ly', '0wFhvR01wmGV4NmqsbQbec', '0v52PCrmbIescmKSC9q625', '3YzPXpeihvRCz3PHU0gJGc']",2,3,2,4,2,2.6,"Tracks transition from frustration to loneliness, but some feel out of place. Diverse artists, but cohesion and emotional alignment are weak, affecting overall appeal."
I'm sad.,Help me reach a more confident mood.,sad,confident,"['4ssEGWKCcdvk4wXzOpXEAo', '6pF8BpsLMONgSqR9Un9Og3', '7oQorm6nSrEZqzhiN8KwZ1', '5bzinIpUzdm3UpMqfLjkeU', '05Gf6nskkTPYQY2RCAUFYn', '6FMUO0qi4hOKxbPsfowpfY', '0fIGTc6TTvWDsonf4FTyFM']",4,4,3,4,4,3.8,"Tracks transition well from sadness to confidence, maintaining a smooth emotional journey. Some style jumps, but good artist variety and generally enjoyable."
Today was exhausting and I'm quite frustrated.,I want to end up overwhelmed.,frustrated,overwhelmed,"['5ci5B6xNix4wtY5NzxhUNs', '09I8dLLckaLu2cPvKOLdMM', '2Qmyjqintv80skLBH3W5GQ', '21HPUuUm5BN4DTDTl9LXLS', '4TsrKk5RcLM5KW4FhwhXMY', '4uSjfs3qdb3Xu9GQY1zb6C', '1xWFIA47dN7kKgB3pmuL1a']",1,1,2,3,1,1.6,"Transition from frustration to overwhelmed is unclear. Playlist lacks emotional coherence, and progression is abrupt. Diversity is moderate, but overall appeal is low due to jarring transitions."
Right now I'm joyful,could you guide me toward feeling lonely?,joyful,lonely,"['7pj5eaRtATspZoJbA28K8p', '2ta8HicnJ5NUoFeByede7P', '2pkyQ3NICWMOqLwor8HBEK', '43IERoI7NDFaL3BlhTwq6V', '6xRDKCCNJxMBtwiaQitjSX', '3wqKG0ZXiqoALNdQx9nwI4', '611908JcgU2D9LAKkqoRc1']",4,4,3,4,3,3.6,"Tracks transition from joyful to lonely effectively with a smooth emotional progression. Some style inconsistencies, but diverse artists maintain engagement."
I'm feeling lonely after a rough day.,,lonely,calm,"['4fU2mSQkAhgEjz8Jqudfo1', '486bK8IXJs5dtsL0MThUXZ', '0nqvtR9JWgUykjJaVOCbJT', '1PrueZWZqKzq7NFjJ57liv', '17SP3gtIuzVcuMw91mBoDS', '12Ork5oHVqxTm14qhj7EEW', '64vZ2gT0gfGruTvHKrWUBh']",4,4,3,3,4,3.6,"Tracks begin with somber tones, gradually introducing more upbeat, comforting songs, aligning well with desired emotional shift. Some style jumps, but overall engaging and smooth transition."
Ha sido agotador y estoy bastante frustrated.,Quiero terminar lonely.,frustrated,lonely,"['09I8dLLckaLu2cPvKOLdMM', '5ci5B6xNix4wtY5NzxhUNs', '45pHFBSE1DsPuoEHmh14h5', '3OyL0pPLuXbtTUjKeiP65f', '0nqvtR9JWgUykjJaVOCbJT', '3RZZreij9AuToQGJ4nXaoh', '0vHLfFCmIpP34eAbiDEjyR']",2,2,3,4,3,2.8,"Tracks start with frustration but don't clearly guide to loneliness. Cohesion and diversity are decent, but emotional journey and appeal are weak."
Currently confident.,My goal is to feel joyful on my way home.,confident,joyful,"['2zkTehkNBWVQIGda4y729C', '5Ov4caTPkHL91PwwZEkF6j', '5FzH97VguESmSKjjUAcif2', '0AuM6Fku5nWZ0CM21YEzty', '4vcfmp43IaxCKxd2auRune', '24XVZ7OG5I9iPXNlyASxKJ', '24YP1gQKTz6guWS8NvFIhq']",4,4,3,3,4,3.6,Tracks transition smoothly from confident to joyful. Cohesion slightly off due to style shifts. Good diversity and enjoyable overall.
